tau,kLAO2,Km,RQ,RR,sigma_r_P,sigma_r_R
5.60598111802117,178.047681394733,1788.33181067789,0.710411912174895,0.0173539398332126,0.0487499776714188,0.0093508750404029
4.67784926137992,213.374113665193,1652.27826006418,0.795620535151102,0.151189433999476,0.0485059887204375,0.0107047082625215
6.07574693157365,164.281355238705,1634.27142219444,0.958901390610263,0.125867227966664,0.029945958124792,0.0103669043163405
2.29375160204737,435.152585447964,2266.04799548212,0.816668783789501,0.106725431097299,0.0422854172486508,0.0106228880724914
3.86080316705534,258.529610761691,1667.87121323205,0.980001773559488,0.0749979164026678,0.0635047511914335,0.0107844135860372
2.49528031373119,400.007940796767,816.942369837792,0.685030871932395,0.0671591253285995,0.0583919930677205,0.00963927692899012
3.14473804907047,317.397482534786,2067.18652927513,0.893268350590952,0.0194902282908792,0.0482628025219098,0.00936308269837388
7.08172858958609,140.944675777904,1478.21857960517,0.880953735392541,0.196726693187212,0.0525787553458697,0.00902194429972922
4.1307943573569,241.631960745918,364.818281084729,0.675959610696882,0.109357708974951,0.0545497403965666,0.00974135625808872
8.71158640681062,114.575221250861,822.578621202978,0.743395192530006,0.189868191158911,0.0280349979800141,0.0098781027093455
6.83842119959049,145.95941239567,1131.41701559976,0.760931882793084,0.139613280716445,0.0486503965735768,0.0122991345420339
12.5002236113277,79.8491267869652,1324.78237904816,0.803380853827111,0.049806435679365,0.0554560494242085,0.00945098694548874
2.95928843118906,337.287818749478,1090.99183168412,0.962413825313561,0.124497419704543,0.0495799225357863,0.00908915788939853
3.80737147950551,262.157749875238,209.817539676744,0.667722849994898,0.0412849772768561,0.0472867364885315,0.0105504584333339
6.19315608724011,161.166927806453,413.220890182213,0.960290836086497,0.0868215843993239,0.0303374469856281,0.00980525703853625
9.44676313390958,105.658618286245,1652.80276530342,0.959154259045608,0.193659527197736,0.0676535854702273,0.00866488709326514
6.20194125689289,160.938631738408,1338.681886617,0.690787524953485,0.129651978472085,0.0439198321868778,0.0119159226829189
5.04379831402055,197.892912813693,2300.76735267994,0.755263052480295,0.184775017098919,0.0537941782747803,0.00937072053705297
